movie_name,genre,rating,votes,duration_minutes
Perspectiva,sci-fi,6.2,101.0,90.0
Megalopolis,sci-fi,4.7,40597.0,138.0
The Fix,sci-fi,4.7,2047.0,98.0
Tacoma,sci-fi,3.3,203.0,103.0
The Clearing,sci-fi,4.0,39.0,
The Other Side of Infinity,sci-fi,6.2,7.0,96.0
Levels,sci-fi,5.0,1951.0,93.0
Slasher House 3,sci-fi,4.5,80.0,
Vampire Zombies... From Space!,sci-fi,6.8,255.0,98.0
Schirkoa: In Lies We Trust,sci-fi,5.5,232.0,103.0
Welcome to Kittytown,sci-fi,7.4,14.0,88.0
Lunacy,sci-fi,5.1,75.0,77.0
Breathe,sci-fi,4.3,8190.0,93.0
The Winter Prophecy,sci-fi,7.6,16.0,52.0
Los visitados,sci-fi,7.0,8.0,
Light,sci-fi,2.7,1302.0,93.0
The Washer,sci-fi,6.5,13.0,90.0
Furiosa: A Mad Max Saga,sci-fi,7.5,311571.0,148.0
Untied,sci-fi,7.9,34.0,104.0
Balestra,sci-fi,5.1,572.0,145.0
Slingshot,sci-fi,5.7,11547.0,108.0
Obscura,sci-fi,3.6,15.0,
Kalki 2898 AD,sci-fi,7.0,74156.0,180.0
The Life of Chuck,sci-fi,7.3,48747.0,111.0
Staycation,sci-fi,6.9,136.0,94.0
Half Lives,sci-fi,5.0,55.0,
Gravediggers,sci-fi,5.7,47.0,91.0
Addy Daddy,sci-fi,7.1,37.0,118.0
Creep Encounters,sci-fi,2.5,155.0,72.0
Last Night on Earth,sci-fi,4.7,589.0,86.0
A Quiet Place: Day One,sci-fi,6.3,168475.0,99.0
Trapped Inn,sci-fi,2.7,992.0,115.0
The Phantom Warrior,sci-fi,2.3,582.0,119.0
Under Paris,sci-fi,5.2,38782.0,104.0
Brush of the God,sci-fi,6.4,16.0,74.0
Abaddon's Pit,sci-fi,5.4,52.0,93.0
Arena Wars,sci-fi,5.0,3394.0,96.0
To the Journey: Looking Back at Star Trek: Voyager,sci-fi,7.3,57.0,109.0
False Front,sci-fi,6.4,6.0,120.0
It's What's Inside,sci-fi,6.6,49029.0,103.0
The Bunker,sci-fi,4.2,457.0,92.0
Parallel,sci-fi,5.3,2282.0,88.0
The House with No Address,sci-fi,6.1,117.0,96.0
Someone Dies!,sci-fi,5.8,70.0,86.0
Time Cut,sci-fi,5.1,21974.0,91.0
The Invisibles,sci-fi,5.9,681.0,111.0
Nueva Tierra,sci-fi,7.7,37.0,123.0
Re:Human,sci-fi,5.7,39.0,108.0
Werewolves,sci-fi,4.4,9425.0,93.0
TapewormZ,sci-fi,5.2,31.0,
Hidden Memories,sci-fi,5.8,34.0,84.0
Bionica,sci-fi,5.5,39.0,82.0
Adabana,sci-fi,5.6,18.0,118.0
Electric Child,sci-fi,5.4,168.0,118.0
Gaganachari,sci-fi,6.9,1235.0,115.0
The Harvester,sci-fi,5.5,27.0,19.0
Caddo Lake,sci-fi,6.8,51693.0,103.0
Infinite Summer,sci-fi,4.1,179.0,86.0
Hope & Glory,sci-fi,6.5,156.0,44.0
Killer Witches from Outer Space,sci-fi,3.6,163.0,82.0
Remnant,sci-fi,2.6,367.0,112.0
Bury Your Dead,sci-fi,5.3,151.0,128.0
Big/Bad/Wolf,sci-fi,4.2,17.0,
Boreal,sci-fi,3.7,123.0,82.0
"Aire, Just Breathe",sci-fi,4.7,227.0,98.0
Rani Rani Rani,sci-fi,6.3,40.0,97.0
UmroAyyar - A New Beginning,sci-fi,6.9,700.0,135.0
Dead Talk Tales: Volume I,sci-fi,6.5,28.0,98.0
Sentinel,sci-fi,2.5,841.0,90.0
Transient,sci-fi,6.5,467.0,96.0
Bionic,sci-fi,4.3,1835.0,110.0
How to Solve Your Own Murder,sci-fi,3.9,167.0,99.0
The Alien Report,sci-fi,4.6,163.0,81.0
In Vitro,sci-fi,5.5,668.0,89.0
Telekinesis,sci-fi,5.8,65.0,106.0
Day of the Clones,sci-fi,3.8,66.0,98.0
The Substance,sci-fi,7.2,389424.0,141.0
Rich Flu,sci-fi,5.0,7402.0,116.0
Bade Miyan Chote Miyan,sci-fi,3.7,40617.0,163.0
Turn Me On,sci-fi,5.6,1059.0,99.0
Alien: Romulus,sci-fi,7.1,276623.0,119.0
Panic,sci-fi,2.8,26.0,
Psychonaut,sci-fi,7.7,27.0,87.0
Our Man in L.A.,sci-fi,3.8,143.0,71.0
Space Sharks,sci-fi,1.6,362.0,70.0
Guacamole Yesterdays,sci-fi,8.3,27.0,
Zenit,sci-fi,4.9,45.0,74.0
U Are the Universe,sci-fi,8.0,3115.0,90.0
Alien Weekend,sci-fi,5.4,280.0,95.0
Blink,sci-fi,6.9,1696.0,136.0
Sting,sci-fi,5.7,18661.0,91.0
Alienoid: The Return to the Future,sci-fi,6.5,3130.0,122.0
The Shrouds,sci-fi,5.7,7837.0,120.0
Year 10,sci-fi,5.4,2594.0,96.0
Meanwhile on Earth,sci-fi,5.8,1257.0,89.0
Astral Plane Drifter,sci-fi,8.6,44.0,
Love Me,sci-fi,5.1,3779.0,91.0
www.RachelOrmont.com,sci-fi,5.6,112.0,80.0
Walther,sci-fi,7.0,8.0,35.0
Aftermath,sci-fi,5.0,4442.0,78.0
Clone Cops,sci-fi,5.6,776.0,96.0
Isleen Pines,sci-fi,5.3,748.0,84.0
Jurassic Triangle,sci-fi,2.4,331.0,84.0
Isla Monstro,sci-fi,7.9,17.0,96.0
Axes and Os,sci-fi,8.7,9.0,
Fight Another Day,sci-fi,4.4,497.0,97.0
2073,sci-fi,5.1,3768.0,85.0
Captain Corpse,sci-fi,7.6,10.0,105.0
Test Screening,sci-fi,6.7,88.0,92.0
Raduaa Returns,sci-fi,5.2,90.0,137.0
The Lonely Musketeer,sci-fi,7.4,22.0,
Miracle Mirrors,sci-fi,5.4,626.0,103.0
Tim Travers & the Time Travelers Paradox,sci-fi,5.5,783.0,95.0
THEDÆMON,sci-fi,6.9,51.0,87.0
Kade,sci-fi,6.6,21.0,92.0
Latency,sci-fi,4.2,3156.0,94.0
Can I Get a Witness,sci-fi,5.4,307.0,110.0
Justicia artificial,sci-fi,5.6,702.0,98.0
States of Mind,sci-fi,3.0,19.0,120.0
The Deadly Swarm,sci-fi,2.5,216.0,81.0
South of Hope Street,sci-fi,5.9,2134.0,101.0
Guest from the Future,sci-fi,6.0,1405.0,141.0
Invasión,sci-fi,4.2,72.0,91.0
War of the Ninja Monsters: Jaron vs Goura,sci-fi,3.7,15.0,55.0
UI,sci-fi,6.6,5970.0,135.0
Dark My Light,sci-fi,5.6,20.0,
Sathur,sci-fi,8.1,10.0,
SCP: The Infinite Mission,sci-fi,6.1,45.0,
Afraid,sci-fi,5.2,16353.0,84.0
The Escapee 3: The Final Escape,sci-fi,2.7,98.0,82.0
Subservience,sci-fi,5.4,34152.0,106.0
Cora,sci-fi,4.5,1003.0,104.0
Buddy,sci-fi,3.8,377.0,137.0
Tobias and the Arcane Merchant,sci-fi,8.9,55.0,167.0
It All Comes with the Cold Water,sci-fi,7.2,151.0,88.0
H010N,sci-fi,6.1,9.0,
Daniela Forever,sci-fi,5.5,685.0,113.0
Agent Recon,sci-fi,2.4,840.0,85.0
Another End,sci-fi,6.4,1064.0,119.0
Trap,sci-fi,3.3,19.0,118.0
Habitat,sci-fi,4.4,8.0,
Sync,sci-fi,8.1,23.0,
The Dugout,sci-fi,5.4,785.0,114.0
She Loved Blossoms More,sci-fi,5.4,251.0,88.0
Lunar Lockdown,sci-fi,4.9,110.0,99.0
Peripheral,sci-fi,7.2,68.0,88.0
Replicator,sci-fi,3.8,204.0,75.0
Daha Iyi Bir Yarin,sci-fi,4.7,278.0,108.0
Horse with No Name,sci-fi,7.9,16.0,72.0
Dark Fusion,sci-fi,8.3,282.0,90.0
Space Frank,sci-fi,4.6,94.0,98.0
Vampire's House of Cain,sci-fi,3.6,22.0,
Y2K,sci-fi,4.7,19469.0,91.0
Unexposed,sci-fi,7.8,90.0,63.0
Decibel,sci-fi,6.2,23.0,
Revival,sci-fi,4.9,91.0,
Bigoli Bang,sci-fi,8.2,6.0,95.0
Andromeda 3,sci-fi,4.5,103.0,
Don't Say Earth,sci-fi,3.5,51.0,81.0
Ghost Planet,sci-fi,4.8,339.0,85.0
O Melhor dos Mundos,sci-fi,6.3,60.0,70.0
Weapon,sci-fi,5.7,7177.0,120.0
Things Will Be Different,sci-fi,5.2,3285.0,102.0
Valensole 1965,sci-fi,7.0,88.0,90.0
Arctic Hollow,sci-fi,2.2,206.0,70.0
Terminator: Skynet Rising,sci-fi,6.4,389.0,88.0
Neon Girls,sci-fi,7.5,39.0,
Apocalypse Z: The Beginning of the End,sci-fi,6.1,22687.0,117.0
Double Ismart,sci-fi,2.9,2291.0,156.0
The A-Frame,sci-fi,5.1,440.0,82.0
The Platform 2,sci-fi,4.9,44910.0,99.0
Quantum Suicide,sci-fi,6.0,31.0,87.0
We're All Gonna Die,sci-fi,5.7,605.0,110.0
J Loop,sci-fi,4.9,224.0,99.0
Omni Loop,sci-fi,5.6,3709.0,112.0
The Silent Planet,sci-fi,4.8,389.0,95.0
Spark,sci-fi,5.5,77.0,89.0
Don't F**k with Ghosts,sci-fi,5.9,228.0,
2015: Future Uncertain,sci-fi,6.1,22.0,72.0
Street Trash,sci-fi,4.6,1172.0,85.0
Alien Love,sci-fi,6.2,96.0,75.0
ON i Ona,sci-fi,4.7,96.0,92.0
Killer Kabbage,sci-fi,7.9,15.0,94.0
Fragmentos de Olvido,sci-fi,5.6,7.0,94.0
Planet B,sci-fi,4.8,538.0,118.0
Sith Wars: Episódio III - Fantasmas Dos Sith,sci-fi,8.3,257.0,99.0
War of the Worlds: Extinction,sci-fi,3.0,250.0,84.0
Venus Effect,sci-fi,5.6,25.0,
Uranus 2324,sci-fi,6.3,5331.0,130.0
Andromeda: 1883,sci-fi,4.0,32.0,75.0
AN,sci-fi,7.1,14.0,
Earthquake Underground,sci-fi,3.2,294.0,83.0
Guy Manley: Super Spy,sci-fi,4.1,198.0,92.0
Agrinai,sci-fi,7.8,70.0,93.0
Boomerang,sci-fi,7.2,439.0,134.0
Happyend,sci-fi,6.8,1660.0,113.0
Desert Road,sci-fi,6.7,174.0,90.0
Un monde merveilleux,sci-fi,5.9,239.0,78.0
Bloody Escape: Bats out of Hell,sci-fi,5.4,69.0,100.0
Tomorrow Is Another Dream,sci-fi,6.5,15.0,80.0
Planetquake,sci-fi,3.1,370.0,85.0
Room 0,sci-fi,3.1,228.0,102.0
Yesterday After Tomorrow,sci-fi,5.1,427.0,120.0
X Files,sci-fi,3.0,91.0,74.0
Aliens Uncovered: UFOs Over Arizona,sci-fi,6.4,26.0,116.0
Waning Poetic,sci-fi,8.8,14.0,93.0
Alien AI: Abducted,sci-fi,4.2,87.0,
The Last Ronin,sci-fi,4.9,688.0,115.0
Night of the Skinwalkers,sci-fi,3.1,957.0,94.0
Video Vision,sci-fi,5.8,21.0,78.0
Reversi,sci-fi,7.0,383.0,135.0
D.O.L.L.S.,sci-fi,6.6,9.0,90.0
Through the Door,sci-fi,3.9,104.0,70.0
Ape X Mecha Ape: New World Order,sci-fi,2.7,167.0,87.0
The Eye of the Salamander,sci-fi,5.8,51.0,81.0
Astra,sci-fi,6.0,15.0,80.0
Moon Ghost Returns,sci-fi,5.8,32.0,
Tsena doveriya,sci-fi,5.6,32.0,83.0
The Human Hibernation,sci-fi,4.6,175.0,90.0
Alien Hunt,sci-fi,3.0,152.0,80.0
Mame snova 17,sci-fi,5.5,216.0,108.0
Piraty galaktiki Barrakuda,sci-fi,4.5,99.0,92.0
Through the Graves the Wind Is Blowing,sci-fi,6.8,83.0,80.0
PW V: Tears of the Fallen,sci-fi,8.2,10.0,60.0
The Box,sci-fi,6.8,12.0,
Abduction: The Harvesting,sci-fi,5.5,22.0,
Alien Attack at Groom Lake,sci-fi,4.0,10.0,71.0
Mars Has Eyes,sci-fi,1.5,13.0,70.0
Seeking the King,sci-fi,6.6,12.0,
Quadrant,sci-fi,4.3,169.0,73.0
Asker Zon,sci-fi,5.1,17.0,109.0
S.T.A.L.K.E.R.: Shadow of the Zone,sci-fi,4.7,734.0,71.0
Mertsanie,sci-fi,5.2,25.0,92.0
Pandasaurus,sci-fi,3.5,62.0,78.0
Stock Shark,sci-fi,6.6,58.0,47.0
"The Girl, the Hunter & the Firefly",sci-fi,7.4,19.0,98.0
Wonderland,sci-fi,6.2,2939.0,113.0
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,sci-fi,3.7,151.0,55.0
Jurassic Exorcist,sci-fi,3.1,61.0,76.0
Tin: Parabiosis,sci-fi,8.2,6.0,90.0
Ascension,sci-fi,3.5,31.0,97.0
Zen Fist,sci-fi,7.2,9.0,45.0
Sci-Fi Vixens from Beyond,sci-fi,4.5,62.0,74.0
Fake Out Fray,sci-fi,7.3,10.0,66.0
Back to 2005,sci-fi,8.3,51.0,88.0
Space Command Redemption,sci-fi,4.6,179.0,122.0
The Uncertainty Principle,sci-fi,8.2,17.0,89.0
Kuramerukagari,sci-fi,6.0,98.0,61.0
True Dark,sci-fi,4.5,10.0,
Dinonauts,sci-fi,6.3,14.0,77.0
The Blinkless,sci-fi,6.9,21.0,59.0
The Divinity of a City,sci-fi,6.5,7.0,64.0
Kaiju Glam Metal Shark Attack,sci-fi,4.6,80.0,70.0
Code Geass: Rozé of the Recapture - Part 1,sci-fi,7.6,50.0,74.0
Code Geass: Rozé of the Recapture: Part 2,sci-fi,7.7,36.0,76.0
Code Geass: Rozé of the Recapture: Part 3,sci-fi,7.3,32.0,76.0
Code Geass: Rozé of the Recapture: Part 4,sci-fi,7.0,24.0,70.0
Iravin Kangal,sci-fi,7.2,175.0,116.0
Taisu Xilie,sci-fi,5.4,9.0,97.0
Gasmask Girl,sci-fi,4.9,13.0,56.0
Touch,sci-fi,8.0,11.0,63.0
Red vs. Blue: Restoration,sci-fi,5.7,155.0,85.0
Touchdown,sci-fi,6.4,18.0,78.0
Star Abyss,sci-fi,3.8,298.0,86.0
The Choice,sci-fi,8.7,9.0,40.0
Tales Beyond the Galaxy,sci-fi,4.4,213.0,76.0
Alien,sci-fi,5.6,188.0,73.0
Megalodon Returns,sci-fi,3.1,12.0,
Good Neighbours,sci-fi,3.1,207.0,84.0
The Thinking Game,sci-fi,7.6,1144.0,84.0
Maid Droid Origins,sci-fi,3.0,386.0,96.0
Bharatiya Superheroes the Origin,sci-fi,8.9,63.0,
Replika,sci-fi,5.3,49.0,125.0
A Cápsula,sci-fi,7.0,8.0,92.0
Darshini,sci-fi,8.4,2145.0,120.0
Mutant,sci-fi,4.2,116.0,90.0
The Visitor,sci-fi,7.0,22.0,169.0
I 20,sci-fi,8.8,495.0,114.0
Mummy Shark,sci-fi,1.9,285.0,66.0
Operation War Thunder,sci-fi,3.3,125.0,74.0
He Has Gone Rogue - The Return of Cyrus,sci-fi,8.5,35.0,61.0
The Assessment,sci-fi,6.6,21036.0,114.0
I Am Spaceman,sci-fi,8.5,57.0,
The Captives,sci-fi,3.5,76.0,73.0
Best Cop Ever,sci-fi,4.4,57.0,122.0
Alien Love: Deleted Scenes,sci-fi,7.1,14.0,7.0
V/H/S/Beyond,sci-fi,5.8,11511.0,114.0
Peas and Carrots,sci-fi,7.1,36.0,96.0
Soul Traveler,sci-fi,4.0,25.0,97.0
C'est le monde à l'envers !,sci-fi,5.3,220.0,114.0
Kadaisi Ulaga Por,sci-fi,6.1,1282.0,140.0
Morana,sci-fi,6.3,31.0,119.0
Baby Invasion,sci-fi,4.7,759.0,80.0
Sharp Teeth,sci-fi,3.0,10.0,71.0
Hinter dem Eisernen Horizont,sci-fi,7.1,20.0,88.0
The Truth on Sendai City,sci-fi,5.3,8.0,73.0
Itch!,sci-fi,6.4,27.0,82.0
Rahasyam Idham Jagath,sci-fi,7.4,51.0,153.0
The Suit,sci-fi,4.6,9.0,90.0
Milestone,sci-fi,8.0,25.0,88.0
Taklee Genesis x Worlds Collide,sci-fi,5.3,522.0,146.0
Previously Saved Version,sci-fi,5.4,527.0,117.0
Black,sci-fi,7.1,3149.0,115.0
Deified the Legacy of Yesterday,sci-fi,9.4,23.0,
Personal Reset,sci-fi,8.2,12.0,
Jimmy and Stiggs,sci-fi,5.5,625.0,79.0
Alien: Rubicon,sci-fi,2.4,1070.0,86.0
Quadrant: Noir Version,sci-fi,7.2,14.0,73.0
Make a Girl,sci-fi,6.5,71.0,92.0
Anunnakiler,sci-fi,2.5,507.0,76.0
Aiden,sci-fi,2.1,146.0,74.0
Psychopomp,sci-fi,8.1,11.0,96.0
7 Vidas,sci-fi,6.9,10.0,80.0
Gut Instinct,sci-fi,6.2,13.0,84.0
Kohinoor,sci-fi,8.1,22.0,119.0
Bob's Hops,sci-fi,7.5,7.0,90.0
The Spaceman,sci-fi,2.6,18.0,85.0
The Real You,sci-fi,6.1,45.0,122.0
Doctor Cerebro,sci-fi,7.4,26.0,84.0
Maddhim,sci-fi,9.3,23.0,
Tees,sci-fi,6.4,26.0,142.0
Moon Maidens 2,sci-fi,3.9,70.0,69.0
Fragment,sci-fi,4.4,25.0,
Mama,sci-fi,8.5,10.0,100.0
Gostya iz kosmosa,sci-fi,8.7,8.0,70.0
Transmedium: Fastmovers & USOs,sci-fi,6.5,44.0,113.0
Ogiva: O Mundo Não é Mais Nosso,sci-fi,6.3,147.0,80.0
Demons vs. Ghosts,sci-fi,7.6,9.0,92.0
Owari ni Mita Machi,sci-fi,7.2,17.0,
Reset,sci-fi,6.0,7.0,95.0
Silent Island: Strange Beasts,sci-fi,4.2,8.0,
The Clashing Elements: Saviors of the Multiverse,sci-fi,7.2,10.0,91.0
The Sanctum,sci-fi,8.1,10.0,50.0
Something in the Dark,sci-fi,7.0,28.0,87.0
Skinjacker,sci-fi,5.2,68.0,
Somnium,sci-fi,4.9,1290.0,92.0
Black Eyed Susan,sci-fi,5.1,410.0,85.0
Lumina,sci-fi,4.0,10424.0,113.0
Futra Days,sci-fi,4.2,196.0,99.0
Flashlight,sci-fi,6.0,21.0,77.0
Offworld: Alien Planet,sci-fi,3.0,131.0,92.0
23 Horas,sci-fi,7.4,21.0,
Identity,sci-fi,4.8,60.0,84.0
Son's Will,sci-fi,7.3,1272.0,148.0
Sign Here,sci-fi,6.2,277.0,100.0
Ayalaan,sci-fi,5.9,4329.0,155.0
Max Beyond,sci-fi,6.6,20.0,93.0
Project Dorothy,sci-fi,3.8,3201.0,80.0
Behind the Bucket: A Garrison Story,sci-fi,8.2,17.0,
John Vardar vs the Galaxy,sci-fi,7.8,95.0,86.0
Saturn,sci-fi,7.6,31.0,100.0
Secret Within the Sphere,sci-fi,7.8,21.0,73.0
Long Distance,sci-fi,5.7,6116.0,86.0
